Player,DK Salary,Pos,Team,Opp,SP Hand,"Home
 Away",Time,Column1,Proj DK,Value,Rating,Column2,TBF,wOBA,Contact%,K%,SwStr%,Hard%,FB%,BB/9,HR/9,WHIP,SIERA,Column3,Contact%4,K% vs Hand,SwStr%5,Hard%6,wOBA vs Hand,Column7,K-Score,W-Score,Column8,Total O/U,Spread,Team Total,Column9,G,IP,K%10,K/9,ERA,xFIP,SIERA11,LD%,GB%,FB%12,HR/FB,Hard%13,Column14,IP15,Avg,SLG,ISO,wOBA16,BABIP,K%17,Column18,IP19,Avg20,SLG21,ISO22,wOBA23,BABIP24,K%25,Column26,IP27,TBF28,HR,AVG29,OBP,SLG30,wOBA31,K%32,Hard%33,HR/934,Column35,IP36,TBF37,HR38,AVG39,OBP40,SLG41,wOBA42,K%43,Hard%44,HR/945
Zac Gallen,"$10,700",SP,ARI,COL,R,Home,9:40 PM,,20.26,1.89,100,,855,0.244,77.10%,28.40%,10.70%,36.60%,35.30%,2.11,0.69,0.89,3.16,,76.61%,23.37%,11.62%,32.51%,0.288,,518,531,,8.5,3,6,,37,221,28.40%,9.87,2.48,3.13,3.16,19.60%,45.10%,35.30%,0.089,36.60%,,110.2,0.168,0.256,0.218,0.23,0.298,37.30%,,111,0.2,0.343,0.269,0.253,0.271,33.50%,,126.2,512,10,0.219,0.275,0.347,0.275,26.00%,33.70%,0.71,,124,467,7,0.167,0.232,0.26,0.223,28.70%,27.30%,0.51
Shane McClanahan,"$11,400",SP,TB,CHC,L,Away,8:05 PM,,19.72,1.73,93,,777,0.249,67.60%,30.40%,16.10%,32.70%,30.90%,2.34,0.99,0.95,2.96,,75.21%,22.59%,11.85%,32.89%,0.336,,530,585,,8.5,2,6,,34,200,30.40%,10.6,2.47,2.74,2.96,19.10%,50.00%,30.90%,0.148,32.70%,,122.2,0.202,0.318,0.259,0.27,0.315,31.20%,,77.2,0.179,0.311,0.239,0.224,0.286,30.50%,,195.2,758,22,0.194,0.25,0.321,0.253,30.90%,29.40%,1.01,,34.2,141,3,0.211,0.284,0.328,0.275,24.80%,33.30%,0.78
Logan Gilbert,"$10,200",SP,SEA,NYY,R,Home,9:40 PM,,17.82,1.75,56,,879,0.297,78.50%,23.70%,10.80%,44.50%,38.60%,2.28,0.97,1.17,3.73,,78.93%,22.83%,9.51%,37.80%,0.318,,465,614,,7,1,4,,37,213,23.70%,8.78,3.33,3.67,3.73,23.10%,38.30%,38.60%,0.099,44.50%,,95,0.247,0.392,0.294,0.298,0.238,36.60%,,118.1,0.238,0.385,0.299,0.291,0.236,40.30%,,126.1,529,16,0.26,0.3,0.422,0.313,21.40%,34.70%,1.14,,119.1,470,9,0.203,0.261,0.317,0.255,27.70%,33.40%,0.68
Lucas Giolito,"$9,200",SP,CHW,LAA,R,Home,8:10 PM,,17.27,1.88,53,,845,0.341,74.80%,25.00%,12.00%,38.50%,38.70%,3.07,1.28,1.39,3.8,,74.35%,26.16%,12.65%,30.41%,0.333,,512,674,,9,1,5,,36,196,25.00%,9.67,4.77,3.8,3.8,23.60%,37.80%,38.70%,0.13,38.50%,,89.2,0.279,0.464,0.344,0.346,0.253,38.00%,,106.2,0.261,0.442,0.338,0.326,0.247,39.20%,,128.2,572,21,0.294,0.35,0.507,0.369,22.70%,30.20%,1.47,,96.1,394,12,0.225,0.302,0.368,0.295,28.20%,26.30%,1.12
Bryce Elder,"$9,300",SP,ATL,OAK,R,Away,9:40 PM,,16.73,1.8,48,,346,0.296,77.50%,21.10%,10.30%,40.70%,29.10%,3.47,0.76,1.23,4.22,,72.26%,28.49%,12.92%,25.69%,0.314,,496,610,,8.5,3,6,,15,83,21.10%,7.92,2.82,4.01,4.22,19.70%,51.30%,29.10%,0.103,40.70%,,39.2,0.226,0.384,0.3,0.264,0.221,26.40%,,43.1,0.231,0.325,0.292,0.285,0.202,31.50%,,61.1,257,3,0.24,0.319,0.323,0.289,23.70%,36.70%,0.44,,51,207,5,0.22,0.291,0.376,0.294,17.90%,34.40%,0.88
Joe Ryan,"$11,100",SP,MIN,HOU,R,Away,8:10 PM,,16.63,1.5,50,,727,0.285,77.00%,25.70%,11.80%,37.20%,52.10%,2.56,1.21,1.05,3.82,,77.99%,17.93%,10.55%,37.24%,0.338,,436,623,,8.5,0,5,,32,179,25.70%,9.4,3.42,4.15,3.82,18.90%,28.90%,52.10%,0.098,37.20%,,96,0.186,0.311,0.258,0.235,0.276,53.50%,,83,0.229,0.43,0.312,0.264,0.235,50.70%,,104.2,424,14,0.219,0.272,0.382,0.286,32.30%,31.80%,1.2,,103.1,422,10,0.201,0.275,0.329,0.27,19.90%,28.80%,0.87
Kodai Senga,"$9,700",SP,NYM,PHI,,Home,7:10 PM,,16.59,1.71,53,,117,0.33,72.60%,27.40%,10.70%,40.30%,27.30%,6.23,1.73,1.58,4.64,,75.83%,25.60%,12.06%,31.57%,,,530,,,8.5,1,5,,5,26,27.40%,11.08,4.15,4.07,4.64,16.70%,56.10%,27.30%,0.278,40.30%,,11,0.2,0.3,0.288,0.269,0.277,22.20%,,15,0.254,0.475,0.372,0.306,0.271,30.80%,,23.2,108,3,0.253,0.343,0.411,0.333,25.00%,35.30%,1.14,,24.1,105,3,0.207,0.343,0.333,0.311,32.40%,32.10%,1.11
Nestor Cortes,"$8,600",SP,NYY,SEA,L,Away,9:40 PM,,16.55,1.92,72,,730,0.258,78.20%,26.20%,11.00%,34.40%,49.50%,2.07,0.92,0.94,3.58,,73.68%,28.72%,12.70%,31.42%,0.314,,549,572,,7,-1,3,,33,186,26.20%,9.21,2.6,3.83,3.58,18.70%,31.80%,49.50%,0.078,34.40%,,105.2,0.175,0.272,0.228,0.221,0.262,46.50%,,81,0.221,0.394,0.287,0.267,0.262,53.20%,,177.1,716,23,0.219,0.271,0.373,0.282,24.30%,28.70%,1.17,,35.1,127,3,0.136,0.197,0.229,0.194,33.10%,26.30%,0.76
Tony Gonsolin,"$8,000",SP,LAD,WSH,R,Home,10:10 PM,,16.13,2.02,71,,512,0.239,75.30%,23.40%,12.20%,33.40%,38.70%,2.56,0.74,0.89,3.84,,79.74%,19.09%,9.83%,24.07%,0.305,,425,544,,9,4,7,,25,133,23.40%,8.08,2.09,3.76,3.84,18.10%,43.30%,38.70%,0.081,33.40%,,66,0.158,0.263,0.215,0.183,0.223,43.70%,,67.2,0.187,0.328,0.263,0.229,0.245,33.70%,,75.1,295,9,0.181,0.251,0.322,0.256,21.40%,30.00%,1.08,,84.2,320,6,0.157,0.225,0.276,0.224,24.70%,32.60%,0.64
Miles Mikolas,"$7,700",SP,STL,KC,R,Home,7:45 PM,,13.96,1.81,37,,955,0.295,83.20%,19.10%,8.20%,36.80%,34.80%,1.85,1.19,1.12,4.07,,76.41%,25.10%,11.50%,30.87%,0.295,,442,590,,9,2,6,,39,234,19.10%,7,3.65,3.89,4.07,21.90%,43.30%,34.80%,0.125,36.80%,,109.2,0.224,0.368,0.273,0.25,0.197,35.70%,,124.1,0.258,0.426,0.317,0.283,0.185,34.00%,,140,572,19,0.25,0.291,0.393,0.298,18.00%,29.10%,1.22,,124,504,14,0.232,0.274,0.388,0.287,19.40%,30.40%,1.02
