Click here to open in Google Sheets,,,,,,,,Odds,,Practice,,,,,,,Practice 2,,,,,,,Projections,,,,,,,1st Race Stats,,,,,,,,,,,Recent Road Course Races,,,,,,,,,,,,,,Track History,,,,,,,,,,Track History Stats,,,,,,,,Recent Road Course Stats,,,,,,,,Long Term Road Course Stats,,,,,,,,2023 Stats (Car Number),,,,,,,,Road Course Laps Finished,,,,,Road Course Finishes,,,,,,,,
Track: Sonoma (xfinity debut),,,,,,Laps:,80,,,,Fastest,,Lap Avg,,,,,Fastest,,Lap Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Salary,#,Make,Team,Crew Chief,Car Stats,CC Stats,Win,Top 3,Laps,Rk,Diff,3 Lap,5 Lap,10 Lap,15 Lap,Laps,Rk,Diff,5 Lap,10 Lap,15 Lap,20 Lap,Own %,Start,Fin,Lead,Fast,FP,Value,Own %,Driver Rating,Start,Fin,Lead Laps,Fast Laps,Laps Ran,Avg Run Pos,Avg Pos Stg1,Avg Pos Stg2,Avg Pos Stg3,Por,CotA,Cha,WG,Ind,RA,Por,CotA,Cha,Ind,WG,Roa,CotA,Day,22,21,20,19,18,17,16,15,14,13,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,% of Laps Fin,Lead Lap Fin %,Fin <2 Laps Behind,Fin <5 Laps Behind,Fin<10 Laps Behind,Races,Top 35,Top 30,Top 25,Top 20,Top 15,Top 10,Top 5,Wins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Larson,11400,17,Chevy,,Kevin Meendering,Link,Link,3.25,,14,1,0.00,1,1,1,,,,,,,,,66%,1,2,39,17,#REF!,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0%,131.3,5.0,1.5,29.2,11.1,10,2,20%,100.8,13.1,12.1,7.6,6.1,,,,,,,,,85%,60%,60%,60%,60%,10,90%,90%,60%,60%,60%,40%,30%,1
AJ Allmendinger,11100,10,Chevy,,Alex Yontz,Link,Link,3.75,,16,3,-1.19,2,3,2,,,,,,,,,43%,5,3,12,12,#REF!,,,,,,,,,,,,,,1,1,2,1,6,1,1,1,2,2,4,2,35,,,,,,,,,,,,,,,,,,,7,0,0%,129.1,6.9,1.9,26.9,13.8,25,1,4%,126.1,6.3,2.9,20.5,13.4,8,0,0%,94.5,10.3,9.0,4.1,2.6,99%,96%,96%,96%,96%,25,100%,96%,96%,92%,92%,92%,88%,11
Ty Gibbs,10600,19,Toyota,,Jason Ratcliff,Link,Link,6,,11,5,-1.25,5,20,15,,,,,,,,,22%,7,5,7,6,#REF!,,,,,,,,,,,,,,3,2,27,8,1,7,15,21,19,1,33,,1,,,,,,,,,,,,,,,,,,,7,0,0%,116.2,7.7,9.0,15.3,11.3,13,1,8%,118.3,7.0,9.0,16.6,11.5,8,1,13%,91.8,14.1,11.9,10.1,7.4,98%,92%,92%,92%,92%,13,100%,92%,85%,77%,69%,62%,46%,3
Justin Allgaier,10300,7,Chevy,,James Pohlman,Link,Link,15,,15,22,-2.21,17,12,7,,,,,,,,,12%,2,7,4,2,#REF!,,,,,,,,,,,,,2,5,5,38,3,12,5,33,9,11,4,12,3,26,,,,,,,,,,,,,,,,,,,8,1,13%,99.7,8.6,9.3,5.1,1.7,36,3,8%,100.6,9.3,8.8,3.1,1.6,8,1,13%,112.6,7.7,4.3,6.4,6.2,96%,89%,89%,89%,86%,36,97%,89%,83%,81%,81%,67%,42%,2
Cole Custer,10100,00,Ford,,Jonathan Toney,Link,Link,12,,17,4,-1.22,3,2,18,,,,,,,,,45%,26,10,1,2,#REF!,,,,,,,,,,,,,1,32,,11,,25,,3,,,,,7,,,,,,,,,,,,,,,,,,,,5,1,20%,97.3,11.0,11.8,1.3,4.6,17,2,12%,101.5,10.8,8.8,0.7,3.0,8,0,0%,103.5,8.0,9.0,5.8,4.4,98%,82%,82%,88%,88%,17,100%,88%,88%,82%,82%,71%,18%,1
Sheldon Creed,9900,2,Chevy,,Jeff Stankiewicz,Link,Link,12,,13,2,-1.18,4,7,13,,,,,,,,,28%,3,5,11,7,#REF!,,,,,,,,,,,,,7,9,16,8,23,27,32,10,,,,,,,,,,,,,,,,,,,,,,,,,8,2,25%,100.7,9.3,12.2,16.1,4.1,10,4,40%,100.7,9.3,12.2,16.1,4.1,8,0,0%,83.4,12.0,16.5,3.1,1.0,87%,60%,60%,60%,70%,10,90%,70%,60%,50%,40%,40%,0%,0
John H. Nemechek,9600,20,Toyota,,Ben Beshore,Link,Link,23,,14,12,-1.64,11,11,6,,,,,,,,,8%,9,9,2,3,#REF!,,,,,,,,,,,,,10,27,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0%,82.2,12.3,18.3,0.7,3.5,7,1,14%,81.1,12.7,16.8,0.3,2.0,8,0,0%,125.2,5.0,3.5,21.6,10.5,94%,86%,86%,86%,71%,7,100%,86%,57%,57%,43%,29%,0%,0
Austin Hill,9400,21,Chevy,,Andy Street,Link,Link,19,,7,8,-1.58,12,9,,,,,,,,,,7%,13,11,0,1,#REF!,,,,,,,,,,,,,5,37,29,30,9,4,3,2,18,29,,,,,,,,,,,,,,,,,,,,,,,8,2,25%,96.7,11.0,8.7,0.0,0.9,11,4,36%,93.9,12.4,10.0,0.0,0.8,8,0,0%,107.1,7.3,6.4,3.6,3.2,80%,55%,55%,55%,64%,11,82%,82%,55%,55%,45%,45%,36%,0
Daniel Suarez,9200,07,Chevy,,Mike Hillman,Link,Link,15,,12,16,-1.88,15,15,12,,,,,,,,,13%,17,11,0,1,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0%,90.0,12.3,13.5,1.0,1.0,8,1,13%,37.4,31.0,29.9,0.0,0.1,100%,83%,83%,100%,100%,6,100%,100%,100%,67%,67%,33%,33%,0
