,,,,,,,,,,,Batting,Projected,,,,,,2022 PA,Batter,Pitcher,Batter,Exit,Batter '22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,DK Salary,Pos,Team,Opp,Bat,Pitcher,SP Hand,Home,Time,Weather,Order,Confirmed,Column1,Proj DK,Value,Rating,Column2,vs Hand,wOBA,wOBA3,ISO,Velocity,Brls%,K%,BB%,Column4,K%5,BB%6,HR/9,HR/FB %,FB%,Hard%,Hard%7,K-Score,W-Score,Column8,SIERA,HR/910,FB%11,Hard% BP,Column12,Total O/U,Spread,Team Total,Column13,PA,wRC+,wOBA14,SLG,OBP,ISO15,HR,BB,SB,K%16,SwStr%,Swing%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Contact%,LD%,GB%,FB%17,Hard%18,Column19,PA20,wRC,wOBA21,OBP22,ISO23,HR24,BB25,SB26,K%27,LD%28,GB%29,FB%30,Hard%31,Column32,PA33,wRC34,wOBA35,OBP36,ISO37,HR38,BB39,SB40,K%41,LD%42,GB%43,FB%44,Hard%45
Joey Meneses,"$3,600",1B,WSH,LAD,R,Tony Gonsolin,R,Away,10:10 PM,Scattered Clouds,4,PROJECTED,,7.01,1.95,28,,240,0.344,0.239,0.166,90.3,9.00%,21.70%,5.70%,,23.40%,7.40%,0.74,8.10%,38.70%,33.40%,,451,583,,3.89,0.89,0.334,0.336,,9,-4.28,2.54,,352,130,0.36,0.492,0.344,0.188,14,20,1,21.30%,10.60%,49.00%,33.80%,69.20%,64.60%,87.10%,78.20%,24.60%,47.30%,28.10%,47.30%,,240,34,0.344,0.338,0.166,9,15,1,21.70%,21.40%,50.30%,28.30%,32.90%,,112,20,0.393,0.357,0.236,5,5,0,20.50%,31.30%,41.00%,27.70%,41.00%
Lane Thomas,"$4,800",OF,WSH,LAD,R,Tony Gonsolin,R,Away,10:10 PM,Scattered Clouds,1,PROJECTED,,6.65,1.39,23,,416,0.289,0.239,0.13,86,5.70%,27.40%,7.40%,,23.40%,7.40%,0.74,8.10%,38.70%,33.40%,,508,528,,3.89,0.89,33.40%,33.60%,,9,-4.28,2.54,,651,93,0.304,0.387,0.304,0.144,17,48,10,24.60%,8.40%,43.70%,29.80%,62.70%,68.60%,88.80%,80.90%,17.60%,45.50%,36.80%,33.20%,,416,40,0.289,0.293,0.13,9,30,9,27.40%,15.00%,48.10%,36.80%,25.60%,,235,31,0.331,0.323,0.167,8,18,1,19.60%,21.60%,41.50%,36.80%,25.10%
Jeimer Candelario,"$3,800",3B,WSH,LAD,S,Tony Gonsolin,R,Away,10:10 PM,Scattered Clouds,3,PROJECTED,,6.16,1.62,21,,424,0.279,0.239,0.145,87.6,7.80%,24.10%,5.70%,,23.40%,7.40%,0.74,8.10%,38.70%,33.40%,,475,518,,3.89,0.89,33.40%,33.60%,,9,-4.28,2.54,,582,79,0.279,0.366,0.271,0.148,17,33,0,22.90%,11.70%,52.40%,37.00%,75.80%,66.20%,86.10%,77.60%,18.90%,40.40%,40.70%,33.30%,,424,38,0.279,0.276,0.145,11,26,0,24.10%,18.40%,41.70%,39.90%,30.60%,,158,14,0.278,0.259,0.154,6,7,0,19.60%,20.00%,37.50%,42.50%,25.00%
Corey Dickerson,"$2,800",OF,WSH,LAD,L,Tony Gonsolin,R,Away,10:10 PM,Scattered Clouds,6,PROJECTED,,5.6,2,19,,273,0.319,0.239,0.14,87.8,3.80%,15.40%,4.30%,,23.40%,7.40%,0.74,8.10%,38.70%,33.40%,,388,558,,3.89,0.89,33.40%,33.60%,,9,-4.28,2.54,,301,96,0.301,0.394,0.299,0.13,6,13,0,16.60%,12.10%,58.30%,44.90%,77.60%,72.30%,85.10%,79.30%,21.20%,46.20%,32.60%,32.60%,,273,33,0.319,0.315,0.14,6,12,0,15.40%,21.60%,45.40%,33.00%,25.20%,,28,-1,0.127,0.143,0.038,0,1,0,28.60%,16.70%,55.60%,27.80%,11.10%
Alex Call,"$2,400",OF,WSH,LAD,R,Tony Gonsolin,R,Away,10:10 PM,Scattered Clouds,9,PROJECTED,,5.48,2.28,24,,135,0.329,0.239,0.149,,,23.00%,,,23.40%,7.40%,0.74,8.10%,38.70%,33.40%,,464,568,,3.89,0.89,33.40%,33.60%,,9,-4.28,2.54,,228,109,0.331,0.389,0.351,0.145,7,30,5,21.50%,8.30%,40.10%,24.40%,61.70%,69.30%,84.80%,79.30%,19.40%,39.60%,41.00%,32.90%,,135,17,0.329,0.348,0.149,5,18,5,23.00%,22.00%,39.00%,39.00%,27.70%,,93,13,0.335,0.355,0.139,2,12,0,19.40%,16.10%,40.30%,43.50%,27.00%
Keibert Ruiz,"$3,700",C,WSH,LAD,S,Tony Gonsolin,R,Away,10:10 PM,Scattered Clouds,7,PROJECTED,,5.12,1.38,13,,394,0.316,0.239,0.13,87.9,4.00%,11.70%,7.00%,,23.40%,7.40%,0.74,8.10%,38.70%,33.40%,,351,555,,3.89,0.89,33.40%,33.60%,,9,-4.28,2.54,,527,92,0.304,0.365,0.317,0.111,9,37,6,10.80%,6.70%,50.60%,36.40%,71.70%,78.40%,92.90%,86.70%,23.60%,39.20%,37.30%,32.20%,,394,47,0.316,0.322,0.13,9,26,4,11.70%,23.70%,39.60%,36.70%,31.60%,,133,11,0.267,0.303,0.051,0,11,2,8.30%,23.10%,38.00%,38.90%,19.30%
Dominic Smith,"$2,300",1B,WSH,LAD,L,Tony Gonsolin,R,Away,10:10 PM,Scattered Clouds,5,PROJECTED,,4.88,2.12,18,,202,0.259,0.239,0.083,88,4.10%,23.30%,8.70%,,23.40%,7.40%,0.74,8.10%,38.70%,33.40%,,467,498,,3.89,0.89,33.40%,33.60%,,9,-4.28,2.54,,253,68,0.263,0.281,0.292,0.071,1,22,0,22.10%,11.00%,46.10%,31.00%,67.20%,59.70%,86.80%,76.20%,15.30%,46.50%,38.20%,38.20%,,202,15,0.259,0.282,0.083,1,17,0,23.30%,15.60%,48.10%,36.30%,25.90%,,51,5,0.278,0.333,0.023,0,5,0,17.60%,14.30%,40.00%,45.70%,20.00%
Vladimir Guerrero Jr.,"$5,400",1B,TOR,MIL,R,Adrian Houser,R,Home,7:07 PM,Few Clouds,3,PROJECTED,,9.37,1.73,42,,678,0.364,0.32,0.219,93,11.60%,16.80%,8.30%,,15.20%,10.30%,0.7,8.00%,29.90%,41.50%,,320,684,,3.7,1.39,0.385,0.37,,9,1.55,5.44,,827,135,0.358,0.484,0.347,0.203,37,69,10,15.60%,10.70%,49.80%,34.20%,73.60%,65.30%,87.80%,78.50%,17.30%,51.50%,31.30%,51.30%,,678,107,0.364,0.345,0.219,33,54,8,16.80%,17.30%,50.00%,32.70%,38.60%,,149,20,0.332,0.356,0.128,4,15,2,10.10%,16.90%,57.60%,25.40%,39.80%
George Springer,"$4,900",OF,TOR,MIL,R,Adrian Houser,R,Home,7:07 PM,Few Clouds,1,PROJECTED,,9.25,1.89,42,,536,0.339,0.32,0.187,88.4,8.70%,17.50%,8.90%,,15.20%,10.30%,0.7,8.00%,29.90%,41.50%,,327,659,,3.7,1.39,0.385,0.37,,9,1.55,5.44,,697,121,0.337,0.443,0.33,0.186,28,62,19,17.20%,12.60%,50.50%,29.70%,78.40%,58.80%,83.30%,75.10%,18.10%,43.70%,38.20%,39.80%,,536,74,0.339,0.331,0.187,21,44,16,17.50%,18.90%,44.20%,37.00%,31.80%,,161,21,0.329,0.329,0.184,7,18,3,16.10%,15.50%,42.20%,42.20%,29.30%
Bo Bichette,"$5,200",SS,TOR,MIL,R,Adrian Houser,R,Home,7:07 PM,Few Clouds,2,PROJECTED,,8.93,1.72,45,,672,0.352,0.32,0.175,91.8,9.20%,21.90%,5.70%,,15.20%,10.30%,0.7,8.00%,29.90%,41.50%,,371,672,,3.7,1.39,0.385,0.37,,9,1.55,5.44,,818,130,0.351,0.473,0.336,0.179,29,47,13,21.10%,11.00%,55.70%,38.40%,80.30%,67.00%,89.20%,80.20%,22.50%,47.70%,29.70%,48.70%,,672,99,0.352,0.338,0.175,23,36,11,21.90%,22.40%,48.50%,29.20%,34.90%,,146,21,0.344,0.329,0.195,6,11,2,17.80%,23.10%,44.40%,32.40%,31.50%
Brandon Belt,"$2,500",1B,TOR,MIL,L,Adrian Houser,R,Home,7:07 PM,Few Clouds,4,PROJECTED,,8.22,3.29,64,,273,0.302,0.32,0.155,88.7,11.70%,30.00%,11.80%,,15.20%,10.30%,0.7,8.00%,29.90%,41.50%,,452,622,,3.7,1.39,0.385,0.37,,9,1.55,5.44,,363,88,0.292,0.339,0.311,0.134,9,43,1,29.80%,13.30%,46.80%,25.90%,76.70%,54.40%,79.90%,71.60%,21.50%,29.00%,49.50%,38.30%,,273,29,0.302,0.311,0.155,8,29,1,30.00%,21.60%,30.10%,48.40%,31.00%,,90,7,0.263,0.311,0.068,1,14,0,28.90%,21.30%,25.50%,53.20%,25.00%
Daulton Varsho,"$3,700",OF,TOR,MIL,L,Adrian Houser,R,Home,7:07 PM,Few Clouds,7,PROJECTED,,8.14,2.2,48,,548,0.332,0.32,0.228,87.3,9.50%,24.10%,8.10%,,15.20%,10.30%,0.7,8.00%,29.90%,41.50%,,393,652,,3.7,1.39,0.385,0.37,,9,1.55,5.44,,700,100,0.314,0.421,0.3,0.192,29,57,20,24.60%,11.60%,50.10%,34.70%,69.60%,66.90%,83.20%,76.90%,16.90%,39.10%,44.00%,34.40%,,548,72,0.332,0.31,0.228,28,52,17,24.10%,16.00%,37.60%,46.40%,36.00%,,152,10,0.251,0.265,0.07,1,5,3,26.30%,20.20%,44.70%,35.10%,20.00%
Matt Chapman,"$4,600",3B,TOR,MIL,R,Adrian Houser,R,Home,7:07 PM,Few Clouds,5,PROJECTED,,7.42,1.61,41,,584,0.346,0.32,0.22,92.9,15.80%,27.20%,11.20%,,15.20%,10.30%,0.7,8.00%,29.90%,41.50%,,424,666,,3.7,1.39,0.385,0.37,,9,1.55,5.44,,730,132,0.352,0.468,0.344,0.218,32,82,3,26.70%,10.50%,42.00%,23.20%,68.00%,62.50%,81.00%,75.00%,17.00%,34.20%,48.90%,53.20%,,584,84,0.346,0.339,0.22,26,70,2,27.20%,15.90%,33.80%,50.30%,42.20%,,146,25,0.377,0.363,0.212,6,12,1,24.70%,20.80%,35.40%,43.80%,44.80%
Kevin Kiermaier,"$2,600",OF,TOR,MIL,L,Adrian Houser,R,Home,7:07 PM,Few Clouds,9,PROJECTED,,7.31,2.81,48,,231,0.301,0.32,0.164,88.1,5.50%,26.00%,6.00%,,15.20%,10.30%,0.7,8.00%,29.90%,41.50%,,412,621,,3.7,1.39,0.385,0.37,,9,1.55,5.44,,299,95,0.296,0.381,0.292,0.14,8,18,7,26.80%,14.40%,50.90%,32.40%,74.10%,49.80%,83.70%,71.70%,19.30%,53.30%,27.40%,38.20%,,231,25,0.301,0.29,0.164,8,16,5,26.00%,15.70%,56.20%,28.10%,34.40%,,68,6,0.279,0.299,0.063,0,2,2,29.40%,31.80%,43.20%,25.00%,13.30%
Whit Merrifield,"$4,000",2B/OF,TOR,MIL,R,Adrian Houser,R,Home,7:07 PM,Few Clouds,6,PROJECTED,,7.2,1.8,30,,446,0.302,0.32,0.103,86.9,4.10%,17.00%,7.10%,,15.20%,10.30%,0.7,8.00%,29.90%,41.50%,,322,622,,3.7,1.39,0.385,0.37,,9,1.55,5.44,,631,94,0.302,0.381,0.309,0.122,11,45,20,15.50%,9.30%,50.90%,35.80%,71.70%,73.80%,87.20%,81.70%,20.80%,41.00%,38.30%,29.60%,,446,48,0.302,0.316,0.103,6,32,16,17.00%,19.90%,42.90%,37.20%,22.80%,,185,20,0.303,0.292,0.168,5,13,4,11.90%,22.80%,36.60%,40.70%,30.70%
Alejandro Kirk,"$3,000",C,TOR,MIL,R,Adrian Houser,R,Home,7:07 PM,Few Clouds,8,PROJECTED,,6.84,2.28,27,,485,0.354,0.32,0.134,90.1,6.90%,10.30%,12.70%,,15.20%,10.30%,0.7,8.00%,29.90%,41.50%,,255,674,,3.7,1.39,38.50%,37.00%,,9,1.55,5.44,,615,130,0.349,0.412,0.377,0.129,16,78,0,11.40%,5.90%,40.40%,26.10%,61.00%,77.10%,90.70%,85.50%,19.50%,49.40%,31.20%,43.90%,,485,73,0.354,0.379,0.134,13,60,0,10.30%,20.20%,48.50%,31.30%,35.30%,,130,17,0.329,0.369,0.109,3,18,0,15.40%,16.50%,52.70%,30.80%,37.40%
Wander Franco,"$5,100",SS,TB,CHC,S,Kyle Hendricks,R,Away,8:05 PM,Light Rain,2,PROJECTED,,10.13,1.99,49,,364,0.33,0.34,0.164,88,5.90%,11.80%,7.50%,,18.50%,6.70%,1.6,13.50%,42.70%,38.80%,,303,670,,3.98,1.27,0.35,0.386,,8.5,2.41,5.62,,465,127,0.34,0.45,0.338,0.167,11,35,14,11.40%,6.10%,49.00%,32.80%,71.30%,78.20%,93.50%,87.60%,24.30%,42.90%,32.80%,37.10%,,364,48,0.33,0.33,0.164,8,30,10,11.80%,26.10%,41.20%,32.60%,33.70%,,101,17,0.376,0.366,0.181,3,5,4,9.90%,17.90%,48.80%,33.30%,19.00%
Brandon Lowe,"$5,100",2B,TB,CHC,L,Kyle Hendricks,R,Away,8:05 PM,Light Rain,3,PROJECTED,,9.94,1.95,66,,303,0.322,0.34,0.19,89.8,13.20%,24.40%,11.10%,,18.50%,6.70%,1.6,13.50%,42.70%,38.80%,,429,662,,3.98,1.27,0.35,0.386,,8.5,2.41,5.62,,360,115,0.324,0.421,0.317,0.196,15,40,2,25.00%,16.90%,52.40%,34.40%,79.00%,49.80%,79.20%,67.70%,19.00%,36.70%,44.20%,41.90%,,303,38,0.322,0.32,0.19,12,37,1,24.40%,18.60%,36.70%,44.70%,31.20%,,57,8,0.336,0.298,0.226,3,3,1,28.10%,21.10%,36.80%,42.10%,28.90%
Josh Lowe,"$4,900",OF,TB,CHC,L,Kyle Hendricks,R,Away,8:05 PM,Light Rain,6,PROJECTED,,9.2,1.88,66,,219,0.364,0.34,0.213,87.3,6.90%,26.00%,7.20%,,18.50%,6.70%,1.6,13.50%,42.70%,38.80%,,445,704,,3.98,1.27,0.35,0.386,,8.5,2.41,5.62,,276,116,0.325,0.433,0.316,0.173,7,20,7,29.30%,13.10%,47.50%,31.50%,68.40%,65.00%,76.90%,72.40%,24.30%,35.30%,40.50%,36.20%,,219,35,0.364,0.344,0.213,7,15,7,26.00%,24.80%,35.90%,39.30%,24.70%,,57,0,0.176,0.211,0.019,0,5,0,42.10%,21.40%,32.10%,46.40%,35.70%
Randy Arozarena,"$5,700",OF,TB,CHC,R,Kyle Hendricks,R,Away,8:05 PM,Light Rain,4,PROJECTED,,9.11,1.6,57,,611,0.334,0.34,0.17,90.7,9.40%,24.90%,7.30%,,18.50%,6.70%,1.6,13.50%,42.70%,38.80%,,434,674,,3.98,1.27,0.35,0.386,,8.5,2.41,5.62,,765,134,0.349,0.467,0.339,0.194,27,56,35,23.80%,12.10%,45.40%,32.40%,65.30%,63.80%,80.50%,73.30%,16.80%,49.00%,34.20%,43.10%,,611,82,0.334,0.332,0.17,17,47,27,24.90%,17.60%,50.30%,32.20%,31.90%,,154,30,0.41,0.364,0.283,10,9,8,19.50%,14.00%,44.70%,41.20%,37.40%
Yandy Diaz,"$4,700",1B,TB,CHC,R,Kyle Hendricks,R,Away,8:05 PM,Light Rain,1,PROJECTED,,8.99,1.91,47,,499,0.378,0.34,0.134,92.8,6.30%,12.60%,13.90%,,18.50%,6.70%,1.6,13.50%,42.70%,38.80%,,311,718,,3.98,1.27,0.35,0.386,,8.5,2.41,5.62,,670,153,0.377,0.45,0.404,0.15,16,93,3,11.30%,5.60%,41.00%,23.20%,65.40%,73.10%,92.90%,86.40%,18.70%,48.70%,32.70%,50.10%,,499,84,0.378,0.413,0.134,11,71,3,12.60%,17.60%,49.90%,32.50%,33.90%,,171,28,0.375,0.38,0.196,5,22,0,7.60%,21.30%,45.60%,33.10%,44.90%
Jose Siri,"$3,000",OF,TB,CHC,R,Kyle Hendricks,R,Away,8:05 PM,Light Rain,8,PROJECTED,,7.72,2.57,63,,264,0.287,0.34,0.146,87.6,6.90%,29.90%,6.10%,,18.50%,6.70%,1.6,13.50%,42.70%,38.80%,,484,627,,3.98,1.27,0.35,0.386,,8.5,2.41,5.62,,363,78,0.273,0.354,0.267,0.14,9,22,15,33.30%,17.90%,51.00%,39.00%,69.20%,52.70%,75.20%,64.80%,20.70%,42.70%,36.60%,35.00%,,264,25,0.287,0.28,0.146,7,15,12,29.90%,21.50%,43.60%,35.00%,26.30%,,99,5,0.234,0.232,0.122,2,7,3,42.40%,18.00%,40.00%,42.00%,24.00%
